,path,value
572,./dimensions/0/topics/6/indicators/1/digits,0
573,./dimensions/0/topics/6/indicators/1/outlier,False
574,./dimensions/0/topics/6/indicators/2/code,i4032
575,./dimensions/0/topics/6/indicators/2/sourceVersion,3
576,./dimensions/0/topics/6/indicators/2/weight,3
577,./dimensions/0/topics/6/indicators/2/value,4
578,./dimensions/0/topics/6/indicators/2/minValue,0
579,./dimensions/0/topics/6/indicators/2/maxValue,6
580,./dimensions/0/topics/6/indicators/2/level,3
581,./dimensions/0/topics/6/indicators/2/transfValue,66.67
582,./dimensions/0/topics/6/indicators/2/valueExists,1
583,./dimensions/0/topics/6/indicators/2/digits,0
584,./dimensions/0/topics/6/indicators/2/outlier,False
585,./dimensions/0/topics/6/indicators/3/code,i4033
586,./dimensions/0/topics/6/indicators/3/sourceVersion,3
587,./dimensions/0/topics/6/indicators/3/weight,3
588,./dimensions/0/topics/6/indicators/3/value,5
589,./dimensions/0/topics/6/indicators/3/minValue,0
590,./dimensions/0/topics/6/indicators/3/maxValue,5
591,./dimensions/0/topics/6/indicators/3/level,7
592,./dimensions/0/topics/6/indicators/3/transfValue,100.0
593,./dimensions/0/topics/6/indicators/3/valueExists,1
594,./dimensions/0/topics/6/indicators/3/digits,0
595,./dimensions/0/topics/6/indicators/3/outlier,False
596,./dimensions/0/topics/7/code,t208
597,./dimensions/0/topics/7/level,5
598,./dimensions/0/topics/7/score,62.5
599,./dimensions/0/topics/7/weight,4
600,./dimensions/0/topics/7/position,0
601,./dimensions/0/topics/7/indicators/0/code,i3016
602,./dimensions/0/topics/7/indicators/0/sourceVersion,3
603,./dimensions/0/topics/7/indicators/0/weight,1
604,./dimensions/0/topics/7/indicators/0/value,8
605,./dimensions/0/topics/7/indicators/0/minValue,0
606,./dimensions/0/topics/7/indicators/0/maxValue,8
607,./dimensions/0/topics/7/indicators/0/level,7
608,./dimensions/0/topics/7/indicators/0/transfValue,100.0
609,./dimensions/0/topics/7/indicators/0/valueExists,1
610,./dimensions/0/topics/7/indicators/0/digits,0
611,./dimensions/0/topics/7/indicators/0/outlier,False
612,./dimensions/0/topics/7/indicators/1/code,i4010
613,./dimensions/0/topics/7/indicators/1/sourceVersion,3
614,./dimensions/0/topics/7/indicators/1/weight,2
615,./dimensions/0/topics/7/indicators/1/value,3
616,./dimensions/0/topics/7/indicators/1/minValue,0
617,./dimensions/0/topics/7/indicators/1/maxValue,4
618,./dimensions/0/topics/7/indicators/1/level,5
619,./dimensions/0/topics/7/indicators/1/transfValue,75.0
620,./dimensions/0/topics/7/indicators/1/valueExists,1
621,./dimensions/0/topics/7/indicators/1/digits,0
