Município;Analfabeto;Até 5 Incompleto;5 Completo Fundamental;6 a 9 Fundamental;Fundamental Completo;Médio Incompleto;Médio Completo;Superior Incompleto;Superior Completo;Mestrado;Doutorado;Total
TO-CARMOLANDIA;4;4;7;9;15;26;139;4;91;2;0;301
TO-CARRASCO BONITO;19;9;3;32;14;14;212;2;73;0;0;378
TO-CASEARA;11;41;11;123;84;86;553;19;75;2;1;1006
TO-CENTENARIO;0;8;4;4;17;6;112;1;28;0;0;180
TO-CHAPADA DE AREIA;3;21;4;24;30;13;170;7;44;0;0;316
TO-CHAPADA DA NATIVIDADE;3;14;18;20;59;40;414;7;15;0;0;590
TO-COLINAS DO TOCANTINS;27;143;50;128;253;255;2579;245;951;3;0;4634
TO-COMBINADO;0;7;5;7;24;19;267;12;64;0;0;405
TO-CONCEICAO DO TOCANTINS;3;25;16;34;36;22;178;2;64;0;0;380
TO-COUTO MAGALHAES;6;21;14;25;43;32;364;12;79;1;0;597
TO-CRISTALANDIA;27;53;22;49;50;42;322;21;76;0;0;662
TO-CRIXAS DO TOCANTINS;67;7;4;11;15;14;139;3;61;0;0;321
TO-DARCINOPOLIS;2;36;52;116;92;103;453;43;92;0;0;989
TO-DIANOPOLIS;12;78;45;126;120;172;1700;97;504;2;0;2856
TO-DIVINOPOLIS DO TOCANTINS;9;36;28;73;66;119;722;10;184;0;0;1247
TO-DOIS IRMAOS DO TOCANTINS;2;45;24;45;55;42;349;6;61;0;0;629
TO-DUERE;17;100;27;114;85;104;983;16;113;0;0;1559
TO-ESPERANTINA;1;19;11;32;22;7;251;3;136;0;0;482
TO-FATIMA;6;4;10;25;32;35;293;11;38;0;0;454
TO-FIGUEIROPOLIS;6;15;10;39;52;43;473;15;81;0;0;734
TO-FILADELFIA;2;21;4;17;30;20;367;3;129;0;0;593
TO-FORMOSO DO ARAGUAIA;18;79;44;109;166;188;1316;60;254;3;0;2237
TO-FORTALEZA DO TABOCAO;17;23;27;51;56;68;397;31;103;1;0;774
TO-GOIANORTE;1;8;7;14;17;13;338;8;64;0;0;470
TO-GOIATINS;4;16;18;49;60;57;477;18;130;1;0;830
TO-GUARAI;15;61;39;106;176;245;2022;202;580;27;5;3478
TO-GURUPI;41;189;125;551;839;1356;11933;693;3038;125;41;18931
TO-IPUEIRAS;2;3;13;20;25;16;170;8;55;1;1;314
TO-ITACAJA;3;19;14;12;25;22;290;7;68;0;0;460
TO-ITAGUATINS;1;8;11;4;21;12;361;2;47;0;0;467
TO-ITAPIRATINS;2;6;12;33;22;25;193;8;37;0;0;338
TO-ITAPORA DO TOCANTINS;5;46;20;17;33;43;169;2;29;0;0;364
TO-JAU DO TOCANTINS;9;11;11;29;40;29;208;3;97;0;0;437
TO-JUARINA;0;12;16;7;12;8;137;8;40;0;0;240
TO-LAGOA DA CONFUSAO;15;106;71;161;223;215;1586;42;278;1;0;2698
TO-LAGOA DO TOCANTINS;1;11;3;11;7;7;178;5;54;0;0;277
TO-LAJEADO;9;16;7;19;16;20;304;21;142;3;0;557
TO-LAVANDEIRA;0;4;2;4;5;10;104;2;37;1;0;169
TO-LIZARDA;2;0;1;2;8;8;163;1;41;0;0;226
TO-LUZINOPOLIS;63;9;17;17;44;23;228;5;114;1;1;522
TO-MARIANOPOLIS DO TOCANTINS;9;17;26;38;62;59;630;7;127;0;0;975
TO-MATEIROS;3;8;9;30;25;20;337;11;52;0;0;495
TO-MAURILANDIA DO TOCANTINS;4;6;3;6;7;3;170;2;95;0;0;296
TO-MIRACEMA DO TOCANTINS;16;70;42;129;205;141;1437;61;281;1;0;2383
TO-MIRANORTE;2;37;31;81;124;91;1009;40;141;0;0;1556
TO-MONTE DO CARMO;6;35;30;55;92;60;439;15;159;0;2;893
TO-MONTE SANTO DO TOCANTINS;1;12;2;7;19;21;150;2;29;0;0;243
TO-PALMEIRAS DO TOCANTINS;5;10;11;31;43;17;206;4;58;0;0;385
TO-MURICILANDIA;11;45;17;27;38;46;204;6;54;0;0;448
TO-NATIVIDADE;11;28;25;32;64;62;808;24;72;0;0;1126
TO-NAZARE;4;2;4;13;13;21;215;6;48;0;0;326
TO-NOVA OLINDA;6;69;26;76;82;135;866;24;201;0;0;1485
TO-NOVA ROSALANDIA;1;4;7;23;21;21;222;4;60;0;0;363
TO-NOVO ACORDO;16;10;6;15;44;25;350;15;77;1;0;559
TO-NOVO ALEGRE;24;3;2;15;15;15;142;6;42;0;0;264
TO-NOVO JARDIM;3;19;18;33;43;12;154;4;47;0;0;333
TO-OLIVEIRA DE FATIMA;22;6;10;14;18;11;150;2;69;0;0;302
TO-PALMEIRANTE;7;40;63;23;45;43;260;22;92;0;1;596
TO-PALMEIROPOLIS;5;60;58;72;79;141;662;22;201;1;0;1301
TO-PARAISO DO TOCANTINS;22;124;97;383;424;713;6760;346;963;8;3;9843
TO-PARANA;43;31;14;29;41;40;549;8;268;6;0;1029
TO-PAU D ARCO;12;42;16;47;27;33;191;11;73;0;0;452
TO-PEDRO AFONSO;10;49;17;96;103;177;1821;74;301;1;0;2649
TO-PEIXE;14;58;86;91;114;91;747;15;241;0;0;1457
TO-PEQUIZEIRO;1;20;11;17;21;42;229;9;129;1;0;480
TO-COLMEIA;9;21;19;26;48;42;500;27;155;0;0;847
TO-PINDORAMA DO TOCANTINS;0;2;18;7;12;10;233;2;76;0;0;360
TO-PIRAQUE;11;29;18;26;32;55;249;9;73;0;0;502
TO-PIUM;73;54;37;64;117;76;816;16;172;0;0;1425
TO-PONTE ALTA DO BOM JESUS;0;4;2;11;16;5;143;2;20;0;0;203
TO-PONTE ALTA DO TOCANTINS;1;7;18;28;46;24;398;2;60;0;0;584
TO-PORTO ALEGRE DO TOCANTINS;3;11;5;18;13;11;102;1;10;0;0;174
TO-PORTO NACIONAL;42;128;85;331;636;517;7259;356;2125;80;41;11600
TO-PRAIA NORTE;1;9;7;7;39;21;119;14;146;0;0;363
TO-PRESIDENTE KENNEDY;7;17;4;21;14;12;192;15;62;0;0;344
TO-PUGMIL;1;9;9;15;22;22;243;7;34;0;0;362
TO-RECURSOLANDIA;2;8;4;11;21;25;124;4;73;1;0;273
TO-RIACHINHO;2;2;6;14;26;30;140;4;78;0;1;303
TO-RIO DA CONCEICAO;1;17;6;12;7;18;150;10;39;0;0;260
TO-RIO DOS BOIS;0;10;1;37;22;55;253;6;65;0;0;449
TO-RIO SONO;7;14;12;28;20;15;258;3;70;0;0;427
TO-SAMPAIO;0;7;2;2;18;2;91;1;64;0;0;187
TO-SANDOLANDIA;6;34;15;83;71;36;241;3;61;0;0;550
TO-SANTA FE DO ARAGUAIA;6;42;34;47;90;50;468;7;92;13;0;849
TO-SANTA MARIA DO TOCANTINS;1;6;15;17;88;24;250;1;60;0;0;462
TO-SANTA RITA DO TOCANTINS;6;14;33;20;39;28;291;8;70;0;0;509
TO-SANTA ROSA DO TOCANTINS;7;33;16;49;77;47;426;10;71;0;0;736
TO-SANTA TEREZA DO TOCANTINS;109;4;2;5;7;8;198;1;20;0;0;354
TO-SANTA TEREZINHA DO TOCANTINS;0;3;3;7;10;7;78;3;41;0;0;152
TO-SAO BENTO DO TOCANTINS;21;16;14;35;44;61;286;18;129;1;0;625
TO-SAO FELIX DO TOCANTINS;137;0;0;3;1;5;70;2;18;0;0;236
TO-SAO MIGUEL DO TOCANTINS;3;10;2;7;12;20;378;2;145;0;0;579
TO-SAO SALVADOR DO TOCANTINS;2;8;14;27;30;21;184;2;141;0;0;429
TO-SAO SEBASTIAO DO TOCANTINS;4;15;8;9;27;13;167;2;50;21;0;316
TO-SAO VALERIO;2;17;10;10;22;21;271;2;61;0;0;416
TO-SILVANOPOLIS;2;16;19;22;55;36;547;8;83;0;2;790
TO-SITIO NOVO DO TOCANTINS;72;23;13;16;61;14;376;9;218;34;0;836
TO-SUCUPIRA;5;10;14;36;24;24;219;1;54;0;0;387
TO-TAGUATINGA;6;44;18;52;134;108;723;18;280;1;0;1384
TO-TAIPAS DO TOCANTINS;5;5;5;9;10;8;45;0;5;0;0;92
TO-TALISMA;10;31;19;64;43;58;260;11;111;2;0;609
TO-PALMAS;191;6217;366;1068;3685;3643;74142;4091;52165;1418;912;147898
TO-TOCANTINIA;3;10;8;10;21;26;288;3;95;0;0;464
TO-TOCANTINOPOLIS;10;30;36;104;131;146;1568;59;323;1;0;2408
TO-TUPIRAMA;10;6;9;9;10;10;116;14;37;0;0;221
TO-TUPIRATINS;1;25;6;17;12;13;88;6;51;2;0;221
TO-WANDERLANDIA;6;19;14;45;67;56;392;23;158;0;0;780
TO-XAMBIOA;20;88;82;169;150;155;1110;36;188;1;1;2000
MA-ACAILANDIA;136;880;455;1186;2489;1215;11821;451;2639;30;9;21311
MA-AFONSO CUNHA;1;7;3;2;33;6;152;3;169;0;0;376
MA-AGUA DOCE DO MARANHAO;1;20;4;14;49;6;192;1;323;0;2;612
MA-ALCANTARA;3;12;2;6;15;107;367;5;296;0;0;813
MA-ALDEIAS ALTAS;39;120;25;107;390;78;709;164;1040;2;0;2674
MA-ALTAMIRA DO MARANHAO;2;11;5;8;11;7;131;0;244;0;0;419
MA-ALTO ALEGRE DO MARANHAO;11;19;16;31;182;99;899;35;421;1;0;1714
MA-ALTO ALEGRE DO PINDARE;11;29;96;201;235;63;941;12;814;1;0;2403
MA-ALTO PARNAIBA;8;30;21;137;144;107;987;74;316;0;0;1824
MA-AMAPA DO MARANHAO;4;7;8;11;66;17;225;6;172;0;0;516
MA-AMARANTE DO MARANHAO;3;11;4;32;41;65;512;8;43;0;0;719
MA-ANAJATUBA;2;12;16;9;27;4;393;12;340;2;0;817
MA-ANAPURUS;15;8;18;29;122;18;691;11;146;0;0;1058
MA-APICUM-ACU;26;2;14;4;83;15;512;14;366;0;0;1036
MA-ARAGUANA;0;1;0;0;1;0;145;6;113;1;0;267
MA-ARAIOSES;2;15;5;16;189;40;963;47;706;0;0;1983
MA-ARAME;11;13;33;48;46;54;396;11;579;4;0;1195
MA-ARARI;3;10;1;14;31;16;1073;40;754;1;0;1943
MA-AXIXA;1;1;1;5;15;6;435;18;278;1;8;769
MA-BACABAL;47;110;88;194;443;313;6573;411;1160;15;4;9358
MA-BACABEIRA;8;43;26;70;166;69;815;22;231;7;0;1457
MA-BACURI;17;2;2;3;9;2;629;4;541;0;0;1209
MA-BACURITUBA;0;2;1;3;32;2;210;3;158;0;0;411
MA-BALSAS;116;1424;472;1711;2109;2000;14112;867;4287;27;5;27130
MA-BARAO DE GRAJAU;4;43;33;49;102;113;1095;92;437;154;0;2122
MA-BARRA DO CORDA;35;121;58;221;327;277;3647;141;2878;1;0;7706
MA-BARREIRINHAS;9;29;32;56;128;90;2037;39;125;0;0;2545
MA-BELAGUA;5;1;1;7;5;4;238;21;248;1;0;531
MA-BELA VISTA DO MARANHAO;2;3;10;24;43;31;187;4;17;0;0;321
MA-BENEDITO LEITE;1;5;1;6;30;9;181;6;202;0;0;441
MA-BEQUIMAO;138;30;5;19;25;55;636;25;546;3;4;1486
MA-BERNARDO DO MEARIM;1;12;1;13;22;12;325;6;128;0;0;520
MA-BOA VISTA DO GURUPI;0;1;1;6;15;6;133;4;152;2;0;320
MA-BOM JARDIM;14;68;33;30;246;21;586;20;725;0;0;1743
MA-BOM JESUS DAS SELVAS;8;84;28;37;578;72;1014;48;364;1;3;2237
MA-BOM LUGAR;7;5;2;3;55;10;231;15;235;0;0;563
MA-BREJO;15;7;9;12;36;26;1416;9;237;0;0;1767
MA-BREJO DE AREIA;0;0;0;0;13;2;299;1;453;2;0;770
MA-BURITI;16;8;12;15;46;14;872;6;125;70;0;1184
MA-BURITI BRAVO;32;14;16;20;86;31;215;178;105;243;34;974
MA-BURITICUPU;26;47;47;108;579;153;3252;205;947;0;2;5366
MA-BURITIRANA;0;4;3;6;11;12;65;0;6;0;0;107
MA-CACHOEIRA GRANDE;0;0;0;0;0;0;20;0;4;0;0;24
MA-CAJAPIO;3;5;11;9;54;15;389;3;224;0;0;713
MA-CAJARI;0;0;5;1;4;2;479;3;60;0;0;554
MA-CAMPESTRE DO MARANHAO;72;70;75;181;200;78;651;37;272;3;0;1639
MA-CANDIDO MENDES;1;13;18;53;102;48;564;41;364;0;0;1204
MA-CANTANHEDE;4;18;14;16;66;9;538;14;468;0;0;1147
MA-CAPINZAL DO NORTE;14;4;3;14;30;11;708;0;249;0;0;1033
MA-CAROLINA;22;131;64;239;342;207;1823;48;550;0;1;3427
MA-CARUTAPERA;25;16;15;39;98;32;1023;66;482;52;2;1850
MA-CAXIAS;76;333;101;410;663;388;7506;461;3602;36;17;13593
MA-CEDRAL;1;6;5;10;18;7;438;8;195;0;0;688
MA-CENTRAL DO MARANHAO;0;0;0;0;7;16;445;2;292;0;2;764
MA-CENTRO DO GUILHERME;1;14;20;43;30;56;654;49;62;0;0;929
MA-CENTRO NOVO DO MARANHAO;4;6;3;8;22;16;715;6;565;36;1;1382
MA-CHAPADINHA;18;99;22;157;163;69;3039;82;1650;19;3;5321
MA-CIDELANDIA;10;41;60;69;77;41;535;16;273;1;0;1123
MA-CODO;99;186;122;297;730;426;6378;240;2423;10;7;10918
MA-COELHO NETO;57;133;66;128;183;116;2005;77;1002;1;0;3768
MA-COLINAS;39;118;33;77;165;132;2746;69;746;0;1;4126
MA-CONCEICAO DO LAGO-ACU;5;6;11;7;124;13;289;1;395;0;0;851
MA-COROATA;168;151;137;124;255;77;2725;92;1802;0;0;5531
MA-CURURUPU;1;3;1;12;111;16;1116;58;1110;0;0;2428
MA-DAVINOPOLIS;9;24;18;101;190;159;1370;25;1037;0;0;2933
MA-DOM PEDRO;9;14;14;78;209;54;764;30;523;6;3;1704
MA-DUQUE BACELAR;2;1;2;1;2;10;561;5;206;0;0;790
MA-ESPERANTINOPOLIS;3;1;0;3;23;10;425;3;435;2;0;905
MA-ESTREITO;13;64;117;106;287;191;2581;60;895;17;2;4333
MA-FEIRA NOVA DO MARANHAO;0;1;2;10;22;22;178;6;65;98;0;404
MA-FERNANDO FALCAO;0;6;25;8;4;10;196;13;168;2;0;432
MA-FORMOSA DA SERRA NEGRA;1;8;11;22;100;42;543;18;668;1;0;1414
MA-FORTALEZA DOS NOGUEIRAS;3;16;18;43;118;36;695;24;230;3;2;1188
MA-FORTUNA;0;0;2;0;18;15;193;18;298;0;0;544
MA-GODOFREDO VIANA;15;92;32;107;271;148;1175;45;415;0;1;2301
MA-GONCALVES DIAS;0;2;3;12;41;16;807;7;429;2;0;1319
MA-GOVERNADOR ARCHER;2;0;0;2;5;11;164;0;153;0;0;337
MA-GOVERNADOR EDISON LOBAO;14;50;95;86;276;203;1768;46;487;1;0;3026
MA-GOVERNADOR EUGENIO BARROS;0;1;1;1;10;12;270;2;228;2;0;527
MA-GOVERNADOR LUIZ ROCHA;0;7;6;0;10;17;292;5;256;0;0;593
MA-GOVERNADOR NEWTON BELLO;5;28;4;6;87;30;629;5;138;0;0;932
MA-GOVERNADOR NUNES FREIRE;1;9;22;16;111;25;1598;45;425;76;1;2329
MA-GRACA ARANHA;0;0;0;0;1;2;233;1;5;0;0;242
MA-GRAJAU;54;268;347;369;566;310;3562;203;1565;7;2;7253
MA-GUIMARAES;1;3;1;0;34;21;218;14;261;3;1;557
MA-HUMBERTO DE CAMPOS;0;2;1;1;10;5;172;3;10;0;0;204
MA-ICATU;0;0;0;1;935;8;221;57;701;0;0;1923
MA-IGARAPE DO MEIO;6;12;12;37;56;209;287;21;36;1;0;677
MA-IGARAPE GRANDE;0;4;1;5;11;16;507;6;164;0;0;714
MA-IMPERATRIZ;170;827;575;1767;3675;2620;42789;2316;11719;332;108;66898
MA-ITAIPAVA DO GRAJAU;1;0;0;1;11;3;210;5;285;0;0;516
MA-ITAPECURU MIRIM;26;53;31;106;349;167;2848;147;1394;0;0;5121
MA-ITINGA DO MARANHAO;44;109;112;128;603;277;1573;29;524;8;1;3408
MA-JATOBA;0;1;0;1;1;3;139;2;210;1;0;358
MA-JENIPAPO DOS VIEIRAS;0;0;1;1;1;2;32;2;4;0;0;43
MA-JOAO LISBOA;15;63;63;68;118;115;1840;14;564;3;0;2863
MA-JOSELANDIA;1;1;1;0;1;0;306;3;192;0;0;505
MA-JUNCO DO MARANHAO;6;7;23;12;93;20;218;7;243;0;0;629
MA-LAGO DA PEDRA;15;25;17;31;219;82;1586;64;905;2;0;2946
MA-LAGO DO JUNCO;211;1;4;1;26;4;320;3;314;0;0;884
MA-LAGO VERDE;2;10;5;12;50;13;391;30;226;0;0;739
MA-LAGOA DO MATO;1;9;2;6;46;17;277;61;89;0;0;508
MA-LAGO DOS RODRIGUES;1;2;6;12;28;14;248;11;235;0;0;557
MA-LAGOA GRANDE DO MARANHAO;0;4;0;9;23;9;190;5;173;0;0;413
MA-LAJEADO NOVO;0;5;10;6;49;6;203;6;100;0;0;385
MA-LIMA CAMPOS;1;3;0;51;12;13;343;7;231;0;0;661
MA-LORETO;13;71;156;108;155;87;646;39;233;0;0;1508
MA-LUIS DOMINGUES;0;0;1;1;61;6;205;8;176;3;1;462
MA-MAGALHAES DE ALMEIDA;5;13;6;18;139;20;799;1;400;4;0;1405
MA-MARACACUME;8;17;6;9;471;11;740;19;385;2;0;1668
MA-MARAJA DO SENA;1;1;2;7;20;10;88;9;143;0;0;281
MA-MARANHAOZINHO;2;12;24;34;64;35;544;111;152;34;1;1013
MA-MATA ROMA;7;3;5;32;81;22;463;11;296;0;0;920
MA-MATINHA;4;8;8;15;17;15;673;13;388;0;0;1141
MA-MATOES;1;7;22;44;131;40;636;20;588;0;0;1489
MA-MATOES DO NORTE;0;3;5;6;14;12;242;17;344;0;0;643
MA-MILAGRES DO MARANHAO;0;2;0;1;87;13;145;0;113;0;0;361
MA-MIRADOR;7;10;152;9;67;9;701;3;321;0;0;1279
MA-MIRANDA DO NORTE;6;14;12;29;92;80;833;30;1070;0;0;2166
MA-MIRINZAL;0;2;0;2;4;7;246;3;238;0;0;502
MA-MONCAO;9;190;49;19;166;66;1145;203;375;1;0;2223
MA-MONTES ALTOS;4;4;6;13;30;22;316;6;58;0;0;459
MA-MORROS;2;1;2;3;50;5;981;3;605;0;0;1652
MA-NINA RODRIGUES;2;9;0;1;39;33;308;1;191;2;0;586
MA-NOVA COLINAS;0;3;2;7;16;28;171;18;147;0;0;392
MA-NOVA IORQUE;0;18;3;18;119;18;85;2;81;2;0;346
MA-NOVA OLINDA DO MARANHAO;0;11;4;0;146;4;309;1;27;0;0;502
MA-OLHO D AGUA DAS CUNHAS;12;29;11;22;40;13;266;8;836;12;27;1276
MA-OLINDA NOVA DO MARANHAO;0;3;1;0;52;3;699;5;294;0;0;1057
MA-PACO DO LUMIAR;438;167;72;408;745;313;5718;200;2439;31;8;10539
MA-PALMEIRANDIA;2;0;2;6;8;4;517;1;274;1;0;815
MA-PARAIBANO;0;8;9;11;50;45;419;11;158;270;0;981
MA-PARNARAMA;30;42;23;72;423;107;1378;61;737;2;0;2875
MA-PASSAGEM FRANCA;12;19;41;58;70;54;394;11;203;0;0;862
MA-PASTOS BONS;2;5;251;13;110;35;900;19;665;0;0;2000
MA-PAULINO NEVES;0;3;5;11;86;19;500;9;531;1;0;1165
MA-PAULO RAMOS;5;3;3;19;61;26;527;85;194;0;0;923
MA-PEDREIRAS;19;151;41;179;220;148;4713;109;712;50;3;6345
MA-PEDRO DO ROSARIO;0;3;3;9;48;5;531;14;527;0;0;1140
MA-PENALVA;0;0;2;42;58;10;1374;16;293;272;4;2071
MA-PERI MIRIM;1;1;2;6;13;11;394;18;262;5;0;713
MA-PERITORO;6;21;25;20;113;27;678;61;711;3;0;1665
MA-PINDARE-MIRIM;10;39;46;65;165;149;1168;33;1590;5;1;3271
MA-PINHEIRO;21;65;32;133;259;122;5003;127;1766;5;0;7533
MA-PIO XII;7;73;1;3;2;11;907;22;1336;0;0;2362
MA-PIRAPEMAS;1;1;0;6;755;17;185;4;333;0;0;1302
MA-POCAO DE PEDRAS;0;7;1;33;84;21;376;10;283;0;0;815
MA-PORTO FRANCO;12;28;25;81;184;106;1513;101;792;11;1;2854
MA-PORTO RICO DO MARANHAO;0;3;2;4;11;5;104;10;155;0;0;294
MA-PRESIDENTE DUTRA;34;174;118;190;360;229;3611;91;1121;3;0;5931
MA-PRESIDENTE JUSCELINO;24;0;1;11;24;12;216;6;220;0;0;514
MA-PRESIDENTE MEDICI;1;2;4;10;32;45;334;14;133;1;0;576
MA-PRESIDENTE SARNEY;5;0;1;1;2;0;245;4;267;0;0;525
MA-PRESIDENTE VARGAS;0;0;0;0;0;0;271;1;149;0;0;421
MA-PRIMEIRA CRUZ;0;3;3;1;248;7;225;13;122;2;0;624
MA-RAPOSA;4;15;15;43;106;42;1380;37;459;1;0;2102
MA-RIACHAO;10;59;75;194;150;98;909;55;372;0;1;1923
MA-RIBAMAR FIQUENE;1;23;11;17;70;25;410;2;133;0;0;692
MA-ROSARIO;10;20;36;50;163;64;1698;63;1021;7;0;3132
MA-SAMBAIBA;5;48;22;108;121;55;605;17;195;0;1;1177
MA-SANTA FILOMENA DO MARANHAO;1;2;9;14;33;2;178;2;153;0;0;394
MA-SANTA HELENA;6;38;33;87;80;77;1399;98;583;0;0;2401
MA-SANTA INES;19;142;105;231;819;400;8105;225;2672;23;8;12749
MA-SANTA LUZIA;32;81;31;83;497;150;1931;44;996;1;0;3846
MA-SANTA LUZIA DO PARUA;11;28;26;39;147;45;1251;53;450;211;0;2261
MA-SANTA QUITERIA DO MARANHAO;14;35;13;34;122;32;729;49;864;4;1;1897
MA-SANTA RITA;1;7;4;13;47;25;1150;38;320;0;0;1605
MA-SANTANA DO MARANHAO;1;6;8;17;94;27;156;7;217;6;0;539
MA-SANTO AMARO DO MARANHAO;0;10;9;18;49;10;679;29;217;97;0;1118
MA-SANTO ANTONIO DOS LOPES;5;26;22;41;137;31;564;64;203;2;2;1097
MA-SAO BENEDITO DO RIO PRETO;17;31;4;6;7;4;798;7;578;0;0;1452
MA-SAO BENTO;1;3;1;11;50;16;973;67;399;0;0;1521
MA-SAO BERNARDO;5;79;12;15;39;56;735;32;87;0;0;1060
MA-SAO DOMINGOS DO AZEITAO;7;4;9;32;127;60;447;6;264;0;0;956
MA-SAO DOMINGOS DO MARANHAO;7;16;4;30;133;60;1465;14;1275;0;0;3004
MA-SAO FELIX DE BALSAS;6;15;8;29;71;78;292;11;122;0;0;632
MA-SAO FRANCISCO DO BREJAO;4;21;19;17;52;29;257;8;137;0;5;549
MA-SAO FRANCISCO DO MARANHAO;0;1;0;2;88;6;352;3;106;0;0;558
MA-SAO JOAO BATISTA;0;0;0;0;2;4;764;0;386;0;0;1156
MA-SAO JOAO DO CARU;1;36;10;7;24;7;229;8;229;9;0;560
MA-SAO JOAO DO PARAISO;3;7;9;17;62;27;401;13;280;4;0;823
MA-SAO JOAO DO SOTER;4;3;0;8;63;17;276;7;524;0;0;902
MA-SAO JOAO DOS PATOS;10;15;20;55;95;85;1299;41;698;0;1;2319
MA-SAO JOSE DE RIBAMAR;74;279;302;592;933;1562;13954;632;3123;7;2;21460
MA-SAO JOSE DOS BASILIOS;7;0;1;21;27;8;80;2;109;2;0;257
MA-SAO LUIS;833;2972;3384;4864;14149;8123;236276;12232;104401;2327;4502;394063
MA-SAO LUIS GONZAGA DO MARANHAO;6;7;8;16;23;9;111;5;11;0;0;196
MA-SAO MATEUS DO MARANHAO;7;4;2;16;36;45;1888;62;369;63;0;2492
MA-SAO PEDRO DA AGUA BRANCA;4;29;23;22;68;20;287;5;184;34;0;676
MA-SAO PEDRO DOS CRENTES;6;28;6;16;43;16;207;4;110;0;3;439
MA-SAO RAIMUNDO DAS MANGABEIRAS;26;123;108;208;382;143;1753;52;562;2;0;3359
MA-SAO RAIMUNDO DO DOCA BEZERRA;0;1;1;2;27;2;170;3;178;0;0;384
MA-SAO ROBERTO;7;9;16;6;55;14;195;1;207;1;0;511
MA-SAO VICENTE FERRER;2;2;3;22;43;20;932;9;343;0;0;1376
MA-SATUBINHA;0;11;18;38;42;11;172;7;143;3;0;445
MA-SENADOR ALEXANDRE COSTA;19;1;4;15;49;36;156;11;164;0;0;455
MA-SENADOR LA ROCQUE;4;17;7;8;182;13;333;12;336;0;0;912
MA-SERRANO DO MARANHAO;0;0;1;5;4;0;317;2;177;0;0;506
MA-SITIO NOVO;2;60;41;59;123;22;394;4;388;0;0;1093
MA-SUCUPIRA DO NORTE;0;39;1;12;80;17;315;63;113;2;0;642
MA-SUCUPIRA DO RIACHAO;1;0;1;1;8;13;162;11;13;0;0;210
MA-TASSO FRAGOSO;14;130;73;215;345;119;1074;52;278;1;0;2301
MA-TIMBIRAS;3;8;5;42;223;56;902;41;783;4;0;2067
MA-TIMON;76;251;198;396;1201;726;9735;638;3698;43;8;16970
MA-TRIZIDELA DO VALE;8;19;12;32;59;40;809;33;442;0;0;1454
MA-TUFILANDIA;4;50;1;20;34;4;637;0;185;0;0;935
MA-TUNTUM;4;39;27;43;84;23;814;14;532;0;0;1580
MA-TURIACU;265;0;2;3;16;2;606;5;539;0;0;1438
MA-TURILANDIA;5;8;10;26;30;16;793;15;133;200;0;1236
MA-TUTOIA;5;25;9;42;222;80;1300;35;1700;1;0;3419
MA-URBANO SANTOS;85;22;55;43;111;59;1575;44;817;4;0;2815
MA-VARGEM GRANDE;13;14;11;47;80;50;2038;10;620;0;0;2883
MA-VIANA;7;23;4;12;47;34;1754;42;626;2;0;2551
MA-VILA NOVA DOS MARTIRIOS;31;71;68;78;128;64;623;31;260;0;0;1354
MA-VITORIA DO MEARIM;2;45;3;25;46;50;912;40;494;0;0;1617
MA-VITORINO FREIRE;12;23;15;55;95;96;993;61;903;0;0;2253
MA-ZE DOCA;2;13;17;25;792;69;1872;212;1027;1;0;4030
PI-ACAUA;1;7;5;33;33;7;116;6;121;1;0;330
PI-AGRICOLANDIA;1;0;3;4;2;9;115;4;41;0;0;179
PI-AGUA BRANCA;2;21;25;15;98;76;1180;33;392;9;0;1851
PI-ALAGOINHA DO PIAUI;1;1;1;3;22;4;86;2;133;0;0;253
PI-ALEGRETE DO PIAUI;0;19;3;2;12;1;47;9;144;0;0;237
PI-ALTO LONGA;4;2;4;22;35;46;376;58;253;2;0;802
PI-ALTOS;11;36;92;76;242;159;2034;72;829;4;1;3556
PI-ALVORADA DO GURGUEIA;3;5;14;3;8;6;208;2;237;5;0;491
PI-AMARANTE;2;15;88;6;48;22;388;21;294;2;0;886
PI-ANGICAL DO PIAUI;0;1;2;9;16;9;166;9;129;9;0;350
PI-ANISIO DE ABREU;0;8;3;4;23;7;268;4;239;4;0;560
PI-ANTONIO ALMEIDA;7;16;21;33;50;24;229;5;165;0;0;550
PI-AROAZES;2;6;40;4;7;5;128;3;142;0;0;337
PI-AROEIRAS DO ITAIM;2;14;14;1;10;24;49;1;71;1;0;187
PI-ARRAIAL;0;1;3;5;8;15;108;13;186;0;0;339
PI-ASSUNCAO DO PIAUI;1;5;49;42;13;10;147;66;206;0;0;539
PI-AVELINO LOPES;0;4;10;9;56;41;204;10;190;10;0;534
PI-BAIXA GRANDE DO RIBEIRO;26;164;99;530;413;222;1354;59;289;0;0;3156
PI-BARRA D ALCANTARA;0;13;4;0;15;5;106;0;107;0;0;250
PI-BARRAS;7;30;68;137;277;278;1377;118;1295;0;0;3587
PI-BARREIRAS DO PIAUI;1;17;5;15;22;14;118;2;59;0;0;253
PI-BARRO DURO;1;0;4;4;64;36;328;14;156;0;0;607
PI-BATALHA;11;41;12;73;115;71;709;36;562;0;0;1630
PI-BELA VISTA DO PIAUI;0;27;28;10;10;5;56;6;93;0;0;235
PI-BELEM DO PIAUI;5;27;8;9;14;7;125;10;126;0;1;332
PI-BENEDITINOS;2;5;8;27;51;33;223;15;188;0;1;553
