Município;Analfabeto;Até 5 Incompleto;5 Completo Fundamental;6 a 9 Fundamental;Fundamental Completo;Médio Incompleto;Médio Completo;Superior Incompleto;Superior Completo;Mestrado;Doutorado;Total
PA-SAO DOMINGOS DO CAPIM;8;47;19;356;174;40;546;31;466;1;0;1688
PA-SAO FELIX DO XINGU;84;443;227;490;789;451;3158;84;1040;1;0;6767
PA-SAO FRANCISCO DO PARA;29;48;25;70;171;106;656;24;341;2;1;1473
PA-SAO GERALDO DO ARAGUAIA;43;176;120;246;445;212;1756;37;459;1;0;3495
PA-SAO JOAO DA PONTA;1;18;2;8;76;3;140;5;85;0;0;338
PA-SAO JOAO DE PIRABAS;2;9;16;56;74;46;827;32;415;272;0;1749
PA-SAO JOAO DO ARAGUAIA;7;55;24;43;53;112;276;174;119;38;0;901
PA-SAO MIGUEL DO GUAMA;129;442;318;855;868;441;2276;105;1107;5;0;6546
PA-SAO SEBASTIAO DA BOA VISTA;2;3;0;80;100;16;413;8;369;0;0;991
PA-SAPUCAIA;49;277;86;111;124;109;500;35;190;3;0;1484
PA-SENADOR JOSE PORFIRIO;3;21;10;40;78;67;279;3;160;3;0;664
PA-SOURE;9;52;30;37;87;463;683;12;244;0;1;1618
PA-TAILANDIA;265;477;456;2728;1423;749;5811;141;1512;14;2;13578
PA-TERRA ALTA;12;17;15;10;83;26;343;11;161;0;0;678
PA-TERRA SANTA;1;26;33;40;188;50;848;11;418;1;0;1616
PA-TOME-ACU;154;930;412;1094;1310;721;3529;272;1017;4;1;9444
PA-TRACUATEUA;8;42;13;49;87;185;1065;17;407;0;0;1873
PA-TRAIRAO;5;58;16;40;164;56;576;25;247;0;0;1187
PA-TUCUMA;17;131;94;256;498;299;3273;79;901;4;0;5552
PA-TUCURUI;16;79;53;259;887;299;6794;191;2565;55;3;11201
PA-ULIANOPOLIS;52;331;185;378;831;449;2091;80;469;1;0;4867
PA-URUARA;6;97;67;239;405;139;1700;111;794;9;0;3567
PA-VIGIA;9;104;88;134;226;138;1300;42;488;5;1;2535
