,Codigo,Nome,Nivel,Governança Colaborativa - Responsáveis,Incorporação de TICs - Planejamento,Planejamento Estratégico para Transformação Digital,Governança de TI - Práticas,Infraestrutura de Hw e Sw - Armazenamento,Gestão Integrada de Dados,Serviços Públicos On-line,Solicitação de Serviços Públicos,Segurança de Políticas Públicas - Monitoramento,Percepção dos Serviços Públicos,Transparência - Monitoramento,Transparência - Execução Orçamentária e Financeira,Transparência dos Dados - Disponibilização,Segurança dos Dados - Práticas
Valor,2203420,Domingos Mourão,2,,,,,,,12,3,,0,,4,8,
Valor,2203453,Dom Inocêncio,2,,,,,,,3,1,,0,,4,8,
Valor,3122603,Dom Joaquim,2,,,,,,,5,4,,0,,5,9,
Valor,2910206,Dom Macedo Costa,3,,,,,,,8,6,,1,,5,9,
Valor,4306601,Dom Pedrito,2,,,,,,,11,2,,0,,4,8,
Valor,2103802,Dom Pedro,1,,,,,,,4,1,,0,,0,1,
Valor,4306551,Dom Pedro de Alcântara,2,,,,,,,3,4,,0,,5,9,
Valor,3122702,Dom Silvério,2,,,,,,,8,6,,0,,5,9,
Valor,3122801,Dom Viçoso,4,5,1,2,1,6,3,5,5,1,0,1,5,8,6
Valor,4205100,Dona Emma,2,,,,,,,8,4,,0,,4,9,
Valor,3122900,Dona Eusébia,2,,,,,,,6,5,,0,,5,9,
Valor,4306700,Dona Francisca,2,,,,,,,7,5,,0,,4,9,
Valor,2505709,Dona Inês,2,,,,,,,9,3,,0,,4,9,
Valor,3123007,Dores de Campos,2,,,,,,,10,4,,0,,5,8,
Valor,3123106,Dores de Guanhães,2,,,,,,,8,1,,0,,4,9,
Valor,3123205,Dores do Indaiá,2,,,,,,,11,4,,0,,5,9,
Valor,3202009,Dores do Rio Preto,2,,,,,,,12,4,,0,,5,10,
Valor,3123304,Dores do Turvo,2,,,,,,,2,3,,0,,4,9,
Valor,3123403,Doresópolis,2,,,,,,,8,3,,0,,5,8,
Valor,2605152,Dormentes,2,,,,,,,8,3,,0,,4,9,
Valor,5003504,Douradina,2,,,,,,,6,5,,0,,5,8,
Valor,4107256,Douradina,2,,,,,,,6,4,,0,,5,8,
Valor,3514304,Dourado,2,,,,,,,12,5,,0,,5,9,
Valor,3123502,Douradoquara,2,,,,,,,3,1,,0,,5,7,
